"week_end","pruid","prename","vaccine_group","product_name","numtotal_totaldoses_admin","numtotal_dose1_admin","numtotal_dose2_admin","numtotal_dose3_admin","numtotal_dose4_admin","numtotal_dose5._admin","numtotal_dosenotreported_admin","log_total_doses"
"2021-04-10",1,"Canada","Moderna Spikevax formulations","Moderna Spikevax",1395102,878213,198983,0,0,0,317906,14.1484780888442
"2021-04-10",1,"Canada","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",717052,551952,124,0,0,0,164976,13.4829036413592
"2021-04-10",1,"Canada","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",6032437,4035667,604059,0,0,0,1392711,15.6126616329954
"2021-04-10",1,"Canada","Total","Total",8145392,5466319,803183,0,0,0,1875890,15.9129629265459
"2021-04-10",1,"Canada","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-04-10",1,"Canada","Unknown","Unknown",801,487,17,0,0,0,297,6.68586094706836
"2021-04-10",24,"Quebec","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-04-17",1,"Canada","Moderna Spikevax formulations","Moderna Spikevax",1837142,1209854,217636,0,0,0,409652,14.4237216611553
"2021-04-17",1,"Canada","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",1108149,800626,1959,0,0,0,305564,13.9182016137825
"2021-04-17",1,"Canada","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",7182871,4858839,680265,0,0,0,1643767,15.7872097218256
"2021-04-17",1,"Canada","Total","Total",10129352,6870045,899865,0,0,0,2359442,16.1309479057681
"2021-04-17",1,"Canada","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-04-17",1,"Canada","Unknown","Unknown",1190,726,5,0,0,0,459,7.08170858610557
"2021-04-17",24,"Quebec","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-04-24",1,"Canada","Moderna Spikevax formulations","Moderna Spikevax",2275546,1526252,231837,0,0,0,517457,14.6377305815718
"2021-04-24",1,"Canada","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",1684437,1242227,3618,0,0,0,438592,14.3369419413074
"2021-04-24",1,"Canada","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",8196653,5590643,733258,0,0,0,1872752,15.9192364581784
"2021-04-24",1,"Canada","Total","Total",12157691,8359605,968719,0,0,0,2829367,16.3134725316035
"2021-04-24",1,"Canada","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-04-24",1,"Canada","Unknown","Unknown",1055,483,6,0,0,0,566,6.96129604591017
"2021-04-24",24,"Quebec","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-05-01",1,"Canada","Moderna Spikevax formulations","Moderna Spikevax",2588182,1739531,243523,0,0,0,605128,14.7664662567052
"2021-05-01",1,"Canada","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",2060977,1554435,4119,0,0,0,502423,14.5386907001791
"2021-05-01",1,"Canada","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",9258143,6375803,771659,0,0,0,2110681,16.0410140465547
"2021-05-01",1,"Canada","Total","Total",13908535,9670367,1019308,0,0,0,3218860,16.4480132384394
"2021-05-01",1,"Canada","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-05-01",1,"Canada","Unknown","Unknown",1233,598,7,0,0,0,628,7.11720550316434
"2021-05-01",24,"Quebec","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-05-08",1,"Canada","Moderna Spikevax formulations","Moderna Spikevax",2966045,1994422,263084,0,0,0,708539,14.9027399735137
"2021-05-08",1,"Canada","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",2180942,1652166,5006,0,0,0,523770,14.5952674515243
"2021-05-08",1,"Canada","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",10883178,7586674,809980,0,0,0,2486524,16.2027288523287
"2021-05-08",1,"Canada","Total","Total",16031695,11233974,1078081,0,0,0,3719640,16.5900782582347
"2021-05-08",1,"Canada","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-05-08",1,"Canada","Unknown","Unknown",1530,712,11,0,0,0,807,7.33302301438648
"2021-05-08",24,"Quebec","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-05-15",1,"Canada","Moderna Spikevax formulations","Moderna Spikevax",3576990,2432240,308982,0,0,0,835768,15.0900322225984
"2021-05-15",1,"Canada","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",2214939,1680439,6386,0,0,0,528114,14.6107354215788
"2021-05-15",1,"Canada","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",12856273,9023289,873371,0,0,0,2959613,16.3693424213949
"2021-05-15",1,"Canada","Total","Total",18652595,13139059,1188775,0,0,0,4324761,16.7414958364659
"2021-05-15",1,"Canada","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-05-15",1,"Canada","Unknown","Unknown",4393,3091,36,0,0,0,1266,8.38776764397578
"2021-05-15",24,"Quebec","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-05-15",48,"Alberta","Moderna Spikevax formulations","Moderna Spikevax",433749,382024,51725,0,0,0,0,12.980221304765
"2021-05-15",48,"Alberta","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",265149,262275,2874,0,0,0,0,12.488047211108
"2021-05-15",48,"Alberta","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",1565496,1274986,290510,0,0,0,0,14.2637132646511
"2021-05-15",48,"Alberta","Total","Total",2266609,1921500,345109,0,0,0,0,14.6337954399781
"2021-05-15",48,"Alberta","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-05-15",48,"Alberta","Unknown","Unknown",2215,2215,0,0,0,0,0,7.70300768247924
"2021-05-22",1,"Canada","Moderna Spikevax formulations","Moderna Spikevax",4065077,2770361,358375,0,0,0,936341,15.2179432429741
"2021-05-22",1,"Canada","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",2219361,1682785,7875,0,0,0,528701,14.6127298745774
"2021-05-22",1,"Canada","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",14991375,10535501,990794,0,0,0,3465080,16.5229855936906
"2021-05-22",1,"Canada","Total","Total",21285049,14995790,1357100,0,0,0,4932159,16.8735154593324
"2021-05-22",1,"Canada","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-05-22",1,"Canada","Unknown","Unknown",9236,7143,56,0,0,0,2037,9.13086417047439
"2021-05-22",24,"Quebec","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-05-22",48,"Alberta","Moderna Spikevax formulations","Moderna Spikevax",499335,435671,63664,0,0,0,0,13.1210324921693
"2021-05-22",48,"Alberta","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",265950,262799,3151,0,0,0,0,12.4910636001705
"2021-05-22",48,"Alberta","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",1817749,1514345,303404,0,0,0,0,14.4131094803815
"2021-05-22",48,"Alberta","Total","Total",2589063,2218843,370220,0,0,0,0,14.7668065921572
"2021-05-22",48,"Alberta","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
