ONS ID,ONS Neighbourhood Name,Cumulative Rate Excluding Cases Linked to Outbreaks in LTCH & RH,Cumulative Number of Cases Excluding Those Linked to Outbreaks in LTCH & RH,"Rate (per 100,000 population) in December 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in December 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in November 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in November 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in October 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in October 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in September 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in September 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in August 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in August 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in July 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in July 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in June 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in June 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in May 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in May 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in April 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in April 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in March 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in March 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in February 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in February 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in January 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in January 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in December 2020, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in December 2020, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in November 2020, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in November 2020, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in October 2020, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in October 2020, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in September 2020, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in September 2020, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in August 2020 Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in August 2020, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in July 2020, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in July 2020, Excluding Those Linked to Outbreaks in LTCH & RH",Population Estimate (Excluding LTCH Residents)
958,Westboro,2655,373,982,138,100,14,43,6,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,92,13,506,71,142,20,71,10,114,16,43,6,43,6,192,27,64,9,36,5,43,6,14044
910,Carlingwood West - Glabar Park - McKellar Heights,2709,277,782,80,108,11,59,6,Suppressed,<5,Suppressed,<5,Suppressed,<5,117,12,108,11,597,61,176,18,108,11,78,8,108,11,Suppressed,<5,108,11,98,10,Suppressed,<5,Suppressed,<5,10225
93,Rothwell Heights - Beacon Hill North,2848,342,916,110,108,13,50,6,92,11,50,6,Suppressed,<5,Suppressed,<5,183,22,250,30,192,23,Suppressed,<5,142,17,150,18,75,9,183,22,142,17,Suppressed,<5,158,19,12003
16,Carleton Heights - Rideauview,4151,301,855,62,110,8,69,5,179,13,Suppressed,<5,Suppressed,<5,Suppressed,<5,262,19,786,57,235,17,138,10,414,30,138,10,110,8,221,16,290,21,Suppressed,<5,Suppressed,<5,7252
920,Fallingbrook,3611,718,1305,260,111,22,70,14,143,28,55,11,25,5,40,8,207,41,546,109,232,46,128,25,122,24,81,16,116,23,136,27,116,23,Suppressed,<5,Suppressed,<5,19884
938,Old Barrhaven West,2994,613,987,202,112,23,83,17,98,20,29,6,34,7,29,6,132,27,420,86,98,20,98,20,230,47,63,13,98,20,205,42,78,16,78,16,29,6,20474
67,Munster - Ashton,2964,137,1273,59,113,5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,137,6,351,16,219,10,Suppressed,<5,Suppressed,<5,334,15,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,4608
912,Carson Grove - Carson Meadows,4926,648,1057,139,114,15,61,8,380,50,122,16,Suppressed,<5,145,19,418,55,509,67,456,60,144,19,395,52,129,17,152,20,296,39,258,34,61,8,38,5,13158
936,Navan - Sarsfield,3782,259,1146,78,120,8,Suppressed,<5,118,8,88,6,Suppressed,<5,Suppressed,<5,270,18,356,24,276,19,Suppressed,<5,213,15,340,23,161,11,305,21,168,11,Suppressed,<5,Suppressed,<5,6840
901,Bayshore - Belltown,6105,702,787,90,122,14,337,39,166,19,104,12,70,8,85,10,349,40,1129,130,531,61,444,51,448,51,241,28,288,33,363,42,200,23,127,15,69,8,11494
904,Blackburn Hamlet,3067,277,901,81,122,11,Suppressed,<5,77,7,55,5,Suppressed,<5,85,8,191,17,722,65,166,15,Suppressed,<5,180,16,89,8,Suppressed,<5,177,16,66,6,56,5,Suppressed,<5,9042
12,Briar Green - Leslie Park,3280,189,933,54,122,7,Suppressed,<5,104,6,Suppressed,<5,Suppressed,<5,Suppressed,<5,313,18,504,29,174,10,Suppressed,<5,243,14,156,9,209,12,174,10,Suppressed,<5,Suppressed,<5,Suppressed,<5,5755
28,Civic Hospital-Central Park,3416,452,973,129,122,16,Suppressed,<5,76,10,Suppressed,<5,Suppressed,<5,39,5,136,18,649,86,305,40,76,10,226,30,60,8,114,15,225,30,176,23,Suppressed,<5,Suppressed,<5,13240
